ACFT_ID;Thrust Rating;Propeller Efficiency;Installed Net Propulsive Power (hp)
BEC58P;MaxClimb;0.9;261.3
BEC58P;MaxTakeoff;0.9;310
C130;MaxClimb;0.85;3575
C130;MaxTakeoff;0.85;4205
C130E;MaxClimb;0.85;3200
C130E;MaxTakeoff;0.85;3700
CNA172;MaxClimb;0.69;140
CNA172;MaxTakeoff;0.67;155
CNA182;MaxClimb;0.78;189.8
CNA182;MaxTakeoff;0.75;222.4
CNA206;MaxClimb;0.77;234
CNA206;MaxTakeoff;0.7;300
CNA20T;MaxClimb;0.77;238
CNA20T;MaxTakeoff;0.69;310
CNA441;MaxClimb;0.9;620
CNA441;MaxTakeoff;0.9;635.5
CVR580;MaxClimb;0.85;3344
CVR580;MaxTakeoff;0.85;3800
DC3;MaxClimb;0.85;1130
DC3;MaxTakeoff;0.85;1302
DC6;MaxClimb;0.9;1750
DC6;MaxTakeoff;0.9;1900
DHC6;MaxClimb;0.9;557.5
DHC6;MaxTakeoff;0.9;587
DHC6QP;MaxClimb;0.9;557.5
DHC6QP;MaxTakeoff;0.9;587
DHC7;MaxClimb;0.9;846
DHC7;MaxTakeoff;0.9;940
HS748A;MaxClimb;0.9;1805
HS748A;MaxTakeoff;0.9;2006
L188;MaxClimb;0.9;3180
L188;MaxTakeoff;0.9;3460
PA30;MaxClimb;0.8;130.5
PA30;MaxTakeoff;0.8;139.5
SD330;MaxClimb;0.9;972
SD330;MaxTakeoff;0.9;1080
SF340;MaxClimb;0.9;1587
SF340;MaxTakeoff;0.9;1763
